customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,age,age_clean,job title,industry,wealth_segment,deceased_iNodicator,owns_car,tenure
18,Marjie,Neasham,Female,79,1967-07-06,58,58,Professor,,Affluent Customer,No,No,11
19,Sorcha,Keyson,Female,76,2001-04-15,24,24,Geological Engineer,Manufacturing,High Net Worth,No,No,1
20,Basile,Firth,Male,72,1980-08-13,44,44,Project Manager,Manufacturing,Mass Customer,No,No,11
21,Mile,Cammocke,Male,74,1980-09-20,44,44,Safety Technician I,Manufacturing,Affluent Customer,No,Yes,16
22,Deeanne,Durtnell,Female,79,1962-12-10,62,62,,IT,Mass Customer,No,No,11
23,Olav,Polak,Male,43,1995-02-10,30,30,,,High Net Worth,No,Yes,1
24,Kim,Skpsey,Female,55,1977-12-03,47,47,Research Assistant I,Argiculture,Mass Customer,No,Yes,15
25,Geoff,Assaf,Male,72,1976-12-02,48,48,Accounting Assistant III,Financial Services,Mass Customer,No,Yes,21
26,Trixi,Ginnelly,Female,12,1978-06-10,47,47,Editor,Financial Services,Mass Customer,No,Yes,16
27,Garvin,Klees,Male,37,1978-09-25,46,46,Research Nurse,Health,Mass Customer,No,Yes,12
28,Fee,Zellmer,Male,5,1973-09-30,51,51,Senior Quality Engineer,Health,Affluent Customer,No,Yes,21
29,Mona,Sancraft,Female,62,1968-06-22,57,57,Safety Technician III,Manufacturing,Mass Customer,No,No,19
30,Darrick,Helleckas,Male,18,1961-10-18,63,63,,IT,Affluent Customer,No,Yes,6
31,Star,Praton,Female,3,1962-11-24,62,62,Staff Accountant III,Telecommunications,High Net Worth,No,Yes,14
32,Marion,Vanichkin,Female,17,1995-04-20,30,30,Legal Assistant,Manufacturing,Affluent Customer,No,No,4
33,Ernst,Hacon,Male,44,1957-06-25,68,68,Product Engineer,,Affluent Customer,No,Yes,11
34,Jephthah,Bachmann,Unknown,59,1977-07-22,47,47,Legal Assistant,IT,Affluent Customer,No,No,20
35,Margaretha,Strettle,Female,40,1963-09-28,61,61,Information Systems Manager,Health,High Net Worth,No,Yes,16
36,Lurette,Stonnell,Female,33,1977-11-09,47,47,VP Quality Control,,Affluent Customer,No,No,22
37,Laurie,Dwerryhouse,Female,46,1985-12-22,39,39,Social Worker,Health,High Net Worth,No,No,16
38,Cordi,Merman,Female,37,1955-10-29,69,69,Senior Cost Accountant,Financial Services,Affluent Customer,No,No,20
39,Hunfredo,Smalley,Male,5,1979-04-16,46,46,Assistant Media Planner,Entertainment,Mass Customer,No,No,22
40,Tomasine,Jerche,Female,91,1981-10-27,43,43,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,No,14
41,Basilius,Coupe,Male,64,1976-04-14,49,49,Food Chemist,Health,Mass Customer,No,No,16
42,Chiquita,Durnall,Female,24,1977-03-28,48,48,Accountant III,Manufacturing,Mass Customer,No,No,18
43,Indira,Belt,Female,38,1983-03-01,42,42,Director of Sales,Retail,Mass Customer,No,No,5
44,Neron,Verick,Male,63,1981-10-18,43,43,Assistant Media Planner,Entertainment,Affluent Customer,No,Yes,17
45,Trace,Woodhead,Male,64,1975-09-23,49,49,Senior Financial Analyst,Financial Services,Mass Customer,No,No,8
46,Kaila,Allin,Female,98,1972-02-26,53,53,,,Affluent Customer,No,Yes,15
47,Matthew,Jeaycock,Male,51,1992-10-22,32,32,Registered Nurse,Health,Affluent Customer,No,No,2
48,Rebbecca,Casone,Female,46,1975-08-15,49,49,Biostatistician II,,Mass Customer,No,Yes,8
49,Nolly,Ownsworth,Male,63,1994-01-26,31,31,VP Quality Control,,Affluent Customer,No,No,1
50,Whitby,Schapero,Male,38,1980-10-01,44,44,Account Executive,Manufacturing,Mass Customer,No,Yes,16
51,Fidelio,Dilke,Male,68,1959-12-05,65,65,Computer Systems Analyst II,Retail,Mass Customer,No,No,18
52,Curran,Bentson,Male,57,1988-06-22,37,37,,Financial Services,Mass Customer,No,Yes,13
53,Agnella,Gocke,Female,22,1954-04-18,71,71,Software Test Engineer II,Financial Services,Mass Customer,No,No,16
54,Loralyn,Wonfor,Female,2,1966-07-24,58,58,Sales Associate,Property,Mass Customer,No,Yes,18
55,Linc,Jillions,Male,48,1956-09-24,68,68,Paralegal,Financial Services,Affluent Customer,No,Yes,7
56,Reese,Ensor,Male,44,1996-07-04,29,29,VP Sales,Property,Mass Customer,No,Yes,4
57,Abba,Masedon,Male,87,1988-06-13,37,37,Chief Design Engineer,,Mass Customer,No,Yes,13
58,Dalenna,Pinnock,Female,26,1967-07-04,58,58,Office Assistant III,Financial Services,Affluent Customer,No,Yes,17
59,Niki,Heathcote,Male,60,2000-02-08,25,25,Physical Therapy Assistant,,High Net Worth,No,No,3
60,Nadiya,Champerlen,Female,18,1970-02-04,55,55,,Manufacturing,Mass Customer,No,No,10
61,Kacey,Rowbottom,Female,47,1959-11-29,65,65,Help Desk Operator,Property,High Net Worth,No,No,13
62,Sorcha,Roggers,Female,38,1979-07-06,46,46,,IT,Mass Customer,No,Yes,22
63,Ebony,Zini,Female,58,1965-07-03,60,60,Senior Quality Engineer,Retail,Mass Customer,No,Yes,16
64,Gerek,Yve,Male,73,1978-03-25,47,47,Legal Assistant,IT,High Net Worth,No,No,4
65,Yale,Tanser,Male,21,1976-04-01,49,49,Information Systems Manager,Financial Services,Affluent Customer,No,Yes,15
66,Anselm,Gawne,Male,46,2002-03-11,23,23,Account Executive,Argiculture,High Net Worth,No,No,1
67,Vernon,,Male,67,1960-06-14,65,65,Web Developer II,Retail,Mass Customer,No,No,18
68,Dahlia,Eddoes,Female,37,1974-04-21,51,51,Information Systems Manager,,Affluent Customer,No,No,9
69,Heidi,Milner,Female,16,1969-06-22,56,56,Web Developer II,,Mass Customer,No,No,6
70,Foster,Vannoort,Male,78,1993-02-27,32,32,Paralegal,Financial Services,Affluent Customer,No,No,8
71,Hoyt,Glavias,Male,30,1985-01-27,40,40,Research Associate,Argiculture,Affluent Customer,No,Yes,12
72,Sammy,Cheese,Male,93,1972-02-13,53,53,Administrative Officer,Manufacturing,Affluent Customer,No,Yes,16
73,Minette,Worters,Female,16,1960-05-27,65,65,Teacher,,Affluent Customer,No,Yes,5
74,Pansy,Kiddie,Female,94,1969-06-19,56,56,,,Mass Customer,No,Yes,6
75,Dollie,Sealy,Female,28,1978-07-15,46,46,VP Product Management,Property,Mass Customer,No,No,19
76,Rea,Hasser,Female,20,1978-01-23,47,47,Statistician II,Retail,High Net Worth,No,Yes,18
77,Shermie,Andrin,Male,79,1989-09-12,35,35,Automation Specialist IV,Financial Services,Mass Customer,No,No,7
78,Arch,Van der Kruis,Male,37,1985-03-12,40,40,Business Systems Development Analyst,Argiculture,Affluent Customer,No,No,8
79,Tybi,Silliman,Female,76,1968-10-02,56,56,Account Executive,Manufacturing,Mass Customer,No,No,18
80,Pablo,Small,Male,11,1978-04-24,47,47,Data Coordiator,Entertainment,Mass Customer,No,No,13
81,Bee,Blazewicz,Female,58,1986-09-04,38,38,,Health,High Net Worth,No,No,13
82,Gleda,Cokely,Female,93,1965-06-28,60,60,Software Test Engineer III,Property,High Net Worth,No,No,19
83,Kerr,Simmell,Male,97,1967-02-26,58,58,Internal Auditor,IT,Mass Customer,No,Yes,18
84,Rich,Mathiasen,Male,78,1958-02-07,67,67,Accountant III,,Mass Customer,No,Yes,14
85,Kane,Tixall,Male,1,1958-05-21,67,67,Analyst Programmer,,Mass Customer,No,No,8
86,Job,Sleney,Male,75,1989-03-04,36,36,Occupational Therapist,Health,High Net Worth,No,Yes,7
87,Fields,Langdon,Male,78,1974-04-23,51,51,Editor,Financial Services,Mass Customer,No,No,8
88,Malynda,Tumber,Female,41,1966-02-03,59,59,Help Desk Operator,Property,High Net Worth,No,Yes,7
89,Benedicto,Hoxey,Male,74,1967-01-22,58,58,Speech Pathologist,Health,Mass Customer,No,Yes,14
90,Cary,Garron,Male,76,1984-11-12,40,40,Quality Control Specialist,Manufacturing,Mass Customer,No,No,11
91,Dylan,Meaker,Male,69,1955-02-24,70,70,Senior Financial Analyst,Financial Services,Affluent Customer,No,Yes,17
92,Jodee,Judkins,Female,98,1980-09-11,44,44,Recruiting Manager,Health,Mass Customer,No,No,12
93,Gordon,Gowar,Male,63,1976-07-16,48,48,Project Manager,Retail,Mass Customer,No,Yes,10
94,Wallache,Simchenko,Male,33,1974-08-07,50,50,Civil Engineer,Manufacturing,Mass Customer,No,No,21
95,Nomi,Mallinder,Female,67,1960-12-25,64,64,Software Engineer III,Manufacturing,Affluent Customer,No,Yes,8
96,Heath,Olford,Male,33,1968-08-31,56,56,Nuclear Power Engineer,Manufacturing,Mass Customer,No,No,15
97,Arne,Corain,Male,16,1979-07-27,45,45,Community Outreach Specialist,Financial Services,Mass Customer,No,Yes,10
98,Allianora,Babalola,Female,19,1956-03-17,69,69,Safety Technician IV,Health,Mass Customer,No,No,7
99,Reggie,Mulliner,Male,97,1998-06-13,27,27,VP Accounting,Financial Services,Mass Customer,No,No,3
100,Tripp,Steed,Male,80,1968-05-11,57,57,General Manager,Financial Services,Mass Customer,No,Yes,4
101,Goran,Kwietek,Male,83,1975-12-29,49,49,Nurse Practicioner,Manufacturing,High Net Worth,No,No,11
102,Langsdon,Tranfield,Male,51,1956-11-27,68,68,Quality Control Specialist,Manufacturing,Affluent Customer,No,No,16
103,Ethyl,Runham,Female,49,1997-04-21,28,28,Product Engineer,Financial Services,Affluent Customer,No,Yes,4
104,Odille,Panketh,Female,40,1978-06-06,47,47,Automation Specialist II,Health,Mass Customer,No,Yes,9
105,Maribeth,Pristnor,Female,25,2001-09-17,23,23,Recruiting Manager,Manufacturing,Mass Customer,No,No,1
106,Glyn,,Male,54,1966-07-03,59,59,Software Test Engineer III,Health,High Net Worth,No,Yes,18
107,Pris,Stallebrass,Female,97,1990-07-01,35,35,Nurse Practicioner,Financial Services,Mass Customer,No,Yes,9
108,Kayle,Mingaud,Female,4,1994-03-14,31,31,,,High Net Worth,No,No,3
109,Cody,Blabey,Male,16,1978-12-11,46,46,Marketing Assistant,,Affluent Customer,No,Yes,4
110,Sascha,St. Quintin,Male,23,2000-07-31,24,24,,Financial Services,Affluent Customer,No,No,1
111,Cele,Evason,Female,65,1993-08-29,31,31,Analyst Programmer,,Mass Customer,No,No,2
112,Shena,Parren,Female,88,1975-08-12,49,49,Marketing Manager,Retail,High Net Worth,No,No,12
113,Gage,Nickless,Male,67,1956-05-06,69,69,Staff Scientist,,Mass Customer,No,No,20
114,Sunny,Swindells,Female,10,1985-10-23,39,39,Teacher,Entertainment,Affluent Customer,No,No,8
115,Alberik,Mereweather,Male,77,1981-12-21,43,43,Account Executive,Health,Mass Customer,No,No,18
116,Scottie,Swiffen,Male,49,1999-02-05,26,26,Assistant Professor,Manufacturing,Affluent Customer,No,Yes,2
117,Nance,Suttling,Female,75,1982-02-23,43,43,Marketing Manager,Manufacturing,Mass Customer,No,No,15
118,Prentice,Pearmain,Male,43,1959-11-12,65,65,Budget/Accounting Analyst IV,,High Net Worth,No,No,19
119,Willey,Chastanet,Male,9,1981-12-04,43,43,Associate Professor,,High Net Worth,No,Yes,9
120,Sloan,Wagg,Male,80,1978-09-02,46,46,Legal Assistant,Financial Services,High Net Worth,No,Yes,4
121,Myles,Pauncefort,Male,82,1957-10-02,67,67,Graphic Designer,Manufacturing,Mass Customer,No,No,15
122,Colver,Itter,Male,87,1979-04-19,46,46,Quality Control Specialist,Financial Services,Mass Customer,No,Yes,12
123,Almeta,Kalinsky,Female,85,1988-12-03,36,36,Analyst Programmer,Financial Services,High Net Worth,No,No,15
124,Kath,Cunney,Female,27,1995-05-03,30,30,Administrative Assistant II,Health,High Net Worth,No,Yes,5
125,Darrelle,Antoniewski,Female,94,1960-03-17,65,65,Computer Systems Analyst II,Property,Mass Customer,No,No,16
126,Norman,Cliff,Male,53,1992-10-15,32,32,Administrative Officer,Health,Mass Customer,No,Yes,3
127,Merrili,Whitear,Female,81,1974-12-03,50,50,Compensation Analyst,Financial Services,Mass Customer,No,No,19
128,Isidro,Cypler,Male,73,1977-07-17,47,47,Systems Administrator III,Property,Mass Customer,No,Yes,12
129,Weidar,Silkstone,Male,64,1985-07-20,39,39,Financial Advisor,Financial Services,High Net Worth,No,Yes,19
130,Raddy,Delete,Male,32,1997-07-18,27,27,Chemical Engineer,Manufacturing,Mass Customer,No,No,1
131,Jana,Renyard,Female,57,1964-10-16,60,60,Administrative Officer,Retail,High Net Worth,No,No,8
132,Celesta,Willavoys,Female,5,1963-07-07,62,62,Web Designer I,Manufacturing,Mass Customer,No,Yes,9
133,Eldridge,Fiddeman,Male,12,1977-06-13,48,48,VP Accounting,Financial Services,Mass Customer,No,Yes,16
134,Merna,McCulloch,Female,34,1997-08-01,27,27,Legal Assistant,Telecommunications,Affluent Customer,No,Yes,5
135,Rosalia,Sigart,Female,18,1975-01-18,50,50,Internal Auditor,IT,Mass Customer,No,No,3
136,Mel,Bennet,Male,46,1973-05-26,52,52,Senior Developer,Manufacturing,High Net Worth,No,Yes,7
137,Vaughn,Artin,Male,27,1987-11-21,37,37,Office Assistant II,Property,High Net Worth,No,No,10
138,Onofredo,Franc,Male,5,1985-04-28,40,40,Recruiter,Financial Services,Affluent Customer,No,Yes,13
139,Gar,,Male,1,1964-07-28,60,60,Operator,Telecommunications,Affluent Customer,No,No,4
140,Morrie,Flaxon,Male,9,1994-05-20,31,31,Programmer Analyst III,Manufacturing,Mass Customer,No,No,2
141,Townsend,Trobe,Male,67,1954-06-25,71,71,Teacher,Financial Services,High Net Worth,No,Yes,10
142,Bentley,Fortesquieu,Male,57,1967-08-07,57,57,Quality Engineer,Health,Affluent Customer,No,No,17
143,Kendall,Figg,Male,19,1957-09-01,67,67,Operator,Argiculture,Mass Customer,No,Yes,11
144,Jory,Barrabeale,Unknown,71,1977-07-22,47,47,Environmental Tech,IT,Mass Customer,No,No,
145,Filippo,Ferrara,Male,33,1997-07-21,27,27,Account Executive,Financial Services,Mass Customer,No,No,4
146,Ricoriki,Matlock,Male,34,1985-04-08,40,40,Quality Control Specialist,Manufacturing,Mass Customer,No,No,8
147,Rea,Pattrick,Female,32,1973-12-06,51,51,Analog Circuit Design manager,Health,Mass Customer,No,Yes,10
148,Jaquith,Maffey,Female,69,1981-05-08,44,44,Programmer Analyst III,,Mass Customer,No,Yes,5
149,Drucy,Kausche,Female,41,1995-01-31,30,30,Research Nurse,Health,Mass Customer,No,Yes,1
150,Bradly,Crosse,Male,6,1983-08-23,41,41,Cost Accountant,Financial Services,Affluent Customer,No,No,17
151,Donnie,Brimson,Male,36,1965-01-31,60,60,Marketing Manager,Manufacturing,Mass Customer,No,Yes,13
152,Stephana,Cardew,Female,5,1981-03-03,44,44,Compensation Analyst,Financial Services,Mass Customer,No,No,16
153,Lorilyn,Walshe,Female,73,1977-07-28,47,47,Assistant Media Planner,Entertainment,Mass Customer,No,Yes,12
154,Faydra,Dulieu,Female,90,1958-02-13,67,67,Junior Executive,,Mass Customer,No,No,11
155,Orran,Bogges,Male,4,1985-12-28,39,39,Quality Engineer,Manufacturing,Mass Customer,No,No,10
156,Shayla,Rimmington,Female,23,1979-09-09,45,45,Cost Accountant,Financial Services,Mass Customer,No,Yes,11
157,Chad,Houtby,Male,97,1974-11-23,50,50,Financial Advisor,Financial Services,Affluent Customer,No,No,16
158,Hamlin,Odams,Male,99,1984-09-03,40,40,Internal Auditor,,Affluent Customer,No,No,5
159,Arin,Matskevich,Male,90,1987-05-12,38,38,Research Nurse,Health,Affluent Customer,No,No,13
160,Wake,Durning,Male,5,1964-07-15,60,60,Registered Nurse,Health,Mass Customer,No,No,18
161,Tadd,Bloss,Male,49,1976-01-21,49,49,,,Mass Customer,No,No,16
162,Port,Acuna,Male,90,1979-08-12,45,45,Nurse Practicioner,IT,Mass Customer,No,No,15
163,Kessia,Helder,Female,58,1976-09-06,48,48,Librarian,Entertainment,High Net Worth,No,Yes,14
164,Aarika,Van Vuuren,Female,55,1999-08-07,25,25,Senior Editor,Retail,Affluent Customer,No,Yes,1
165,Aldon,Roelofs,Male,61,1984-03-25,41,41,Administrative Officer,Argiculture,Mass Customer,No,Yes,12
166,Elston,Oleszczak,Male,54,1955-06-12,70,70,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,No,6
167,Nathalie,Tideswell,Female,95,1969-10-27,55,55,,Health,High Net Worth,No,Yes,17
168,Reggie,Broggetti,Unknown,8,1977-07-22,47,47,General Manager,IT,Affluent Customer,No,Yes,
169,Alfy,Bruhnke,Male,20,1957-10-19,67,67,Data Coordiator,Telecommunications,High Net Worth,No,Yes,5
170,Jammal,Gever,Male,80,1975-06-02,50,50,Pharmacist,Health,High Net Worth,No,No,21
171,Halli,Davidoff,Female,62,1970-12-04,54,54,Assistant Manager,Manufacturing,Mass Customer,No,No,10
172,Hilton,Carney,Male,54,1988-09-12,36,36,Editor,Manufacturing,Affluent Customer,No,Yes,6
173,Ebba,Hanselmann,Female,99,1997-01-02,28,28,General Manager,Health,Affluent Customer,No,No,1
174,Catie,Tosspell,Female,93,1989-11-26,35,35,Food Chemist,Health,Mass Customer,No,No,12
175,Templeton,Hambrook,Male,36,1975-11-28,49,49,Quality Engineer,Manufacturing,Affluent Customer,No,No,5
176,Angelo,Clayal,Male,39,1992-04-13,33,33,Accountant I,Property,Mass Customer,No,No,10
177,Ondrea,Pablos,Female,25,1989-11-09,35,35,Professor,Financial Services,High Net Worth,No,No,4
178,Matthieu,Bertelmot,Male,2,1967-04-03,58,58,,,Affluent Customer,No,No,8
179,Esteban,Sewill,Male,23,1966-05-11,59,59,Environmental Tech,Manufacturing,High Net Worth,No,Yes,6
180,Trisha,Neasham,Female,16,1971-09-17,53,53,Web Designer III,Argiculture,Affluent Customer,No,No,14
181,Pavla,Braunle,Female,49,1982-11-21,42,42,Senior Editor,Manufacturing,Mass Customer,No,No,9
182,Lydon,Dahlman,Male,99,1992-11-20,32,32,Sales Associate,Financial Services,Affluent Customer,No,Yes,7
183,Dannie,Hissie,Female,7,1997-08-05,27,27,Geologist III,Retail,Affluent Customer,No,No,3
184,Nappie,Paolo,Male,40,1971-12-13,53,53,Marketing Manager,Manufacturing,High Net Worth,No,Yes,7
185,Crosby,Walcot,Male,80,1979-12-13,45,45,,Property,Mass Customer,No,Yes,13
186,Mireielle,Jeppe,Female,46,1974-05-06,51,51,Software Test Engineer I,Financial Services,Mass Customer,No,No,3
187,Pincas,Ather,Male,97,1954-01-28,71,71,Structural Engineer,,Mass Customer,No,No,11
188,Audry,Seine,Female,54,1975-06-22,50,50,Safety Technician II,Property,High Net Worth,No,Yes,13
189,Umberto,Torricella,Male,73,1981-07-19,43,43,Safety Technician I,Financial Services,Affluent Customer,No,No,10
190,Hayley,Girardengo,Female,42,1979-02-04,46,46,Registered Nurse,Health,Affluent Customer,No,No,10
191,Christopher,Heining,Male,22,1960-04-27,65,65,Help Desk Operator,,Affluent Customer,No,Yes,6
192,Goldi,Osler,Female,2,1978-11-19,46,46,Junior Executive,Health,Mass Customer,No,Yes,8
193,Foss,Hardes,Male,13,1964-07-22,60,60,Recruiting Manager,Manufacturing,Mass Customer,No,Yes,12
194,Ursala,Ferrai,Female,4,1974-11-16,50,50,Web Developer III,Financial Services,Affluent Customer,No,No,10
195,Talyah,Rylatt,Female,34,1958-11-14,66,66,Project Manager,Manufacturing,Mass Customer,No,No,6
196,Swen,Odhams,Male,90,1966-02-22,59,59,Programmer Analyst II,Manufacturing,High Net Worth,No,No,6
197,Avis,,Female,32,1977-01-27,48,48,,,High Net Worth,No,No,5
198,Vanya,Gumb,Female,82,1981-11-29,43,43,Assistant Media Planner,Entertainment,Mass Customer,No,No,16
199,Verla,Alven,Female,61,1978-02-13,47,47,Junior Executive,Health,Mass Customer,No,Yes,21
200,Hube,Weald,Male,7,1957-02-04,68,68,Physical Therapy Assistant,Property,Affluent Customer,No,Yes,19
201,Salem,Huie,Male,45,1966-04-20,59,59,Design Engineer,Manufacturing,Mass Customer,No,Yes,11
202,Audie,Pillinger,Female,38,1963-06-24,62,62,Librarian,Entertainment,Affluent Customer,No,Yes,16
203,Donovan,Conry,Male,71,1964-01-13,61,61,Senior Quality Engineer,Argiculture,Mass Customer,No,Yes,11
204,Thorny,Hackworth,Male,56,1976-10-01,48,48,Editor,Financial Services,Mass Customer,No,No,5
205,Rolfe,Kellard,Male,18,1958-12-01,66,66,Administrative Assistant II,Financial Services,Mass Customer,No,Yes,6
206,Mari,Chevolleau,Female,98,1954-07-19,70,70,Statistician I,,Mass Customer,No,Yes,14
207,Adena,Whyman,Female,9,1994-08-10,30,30,,,Mass Customer,No,No,7
208,Rutter,Excell,Male,57,1994-10-31,30,30,Office Assistant III,Property,High Net Worth,No,No,5
209,Udall,Bellard,Male,9,1957-08-28,67,67,Analog Circuit Design manager,,Affluent Customer,No,Yes,6
210,Albrecht,Thomasson,Male,50,1963-11-18,61,61,Assistant Manager,Property,Mass Customer,No,No,18
211,Beitris,,Female,6,1974-03-04,51,51,VP Marketing,Manufacturing,Mass Customer,No,Yes,5
212,Nanice,Ellse,Female,21,2001-11-19,23,23,Desktop Support Technician,IT,Affluent Customer,No,No,1
213,Lockwood,Exroll,Male,13,1996-05-14,29,29,Actuary,Financial Services,High Net Worth,No,Yes,6
214,Jeramie,Cellier,Male,82,1957-11-29,67,67,Food Chemist,Health,Mass Customer,No,No,6
215,Debera,Foxworthy,Female,37,1974-06-24,51,51,Assistant Professor,Retail,High Net Worth,No,Yes,18
216,Cinderella,Parcall,Female,12,1995-01-12,30,30,Quality Engineer,Financial Services,High Net Worth,No,Yes,7
217,Jeralee,Quartly,Female,63,1979-12-09,45,45,,Manufacturing,High Net Worth,No,No,16
218,Stefa,Dunnan,Female,37,1993-08-06,31,31,Administrative Officer,Property,High Net Worth,No,Yes,8
219,Markus,Mughal,Male,9,1964-11-25,60,60,Database Administrator III,Health,Mass Customer,No,No,7
220,Jeniffer,Apark,Female,79,1954-05-10,71,71,Electrical Engineer,Manufacturing,High Net Worth,No,No,9
221,Mara,Bloore,Female,14,1980-03-10,45,45,Tax Accountant,Manufacturing,Mass Customer,No,No,14
222,Nev,Larive,Male,89,1978-09-03,46,46,Clinical Specialist,Health,Mass Customer,No,No,16
223,Ossie,Meaton,Male,13,1983-11-26,41,41,VP Sales,,Affluent Customer,No,Yes,14
224,Morgun,Girvan,Male,2,1967-12-03,57,57,Compensation Analyst,Financial Services,Affluent Customer,No,No,17
225,Brittaney,Pring,Female,84,1977-03-11,48,48,Pharmacist,Health,Affluent Customer,No,No,13
226,Bondie,Letty,Male,96,1977-11-11,47,47,Database Administrator IV,Manufacturing,Mass Customer,No,No,20
227,Wendall,McKeand,Male,99,1973-08-14,51,51,Accountant I,Entertainment,Mass Customer,No,No,18
228,Lucia,Pickervance,Female,59,1986-05-25,39,39,Systems Administrator II,Manufacturing,High Net Worth,No,No,12
229,Vaughn,Lambis,Male,30,1966-03-06,59,59,,Property,High Net Worth,No,No,19
230,Maegan,Scyone,Female,74,1954-06-24,71,71,Internal Auditor,Property,High Net Worth,No,No,11
231,Basile,Winsor,Male,48,1995-08-05,29,29,Design Engineer,Financial Services,Mass Customer,No,Yes,3
232,Zaria,Koeppke,Female,94,1987-11-11,37,37,Professor,Retail,Mass Customer,No,No,12
233,Art,Barwell,Male,34,1986-08-08,38,38,Environmental Tech,Property,Mass Customer,No,No,13
234,Mead,Alpes,Female,71,1969-08-12,55,55,Chief Design Engineer,Retail,High Net Worth,No,No,12
235,Leona,Phateplace,Female,30,1976-12-26,48,48,Social Worker,Health,Mass Customer,No,No,15
236,Tybalt,Gillingwater,Male,79,1954-10-30,70,70,Research Nurse,Health,Affluent Customer,No,No,14
237,Reginald,Dartan,Male,18,1974-03-07,51,51,Account Coordinator,Property,High Net Worth,No,Yes,11
238,Max,Bilborough,Male,54,1984-02-04,41,41,Programmer III,,Mass Customer,No,Yes,14
239,Wells,Pressman,Male,62,1992-12-13,32,32,Registered Nurse,Health,Affluent Customer,No,No,3
240,Gavin,Fawks,Male,49,1989-07-28,35,35,Administrative Assistant III,IT,High Net Worth,No,Yes,15
241,Quillan,Duigan,Male,94,1987-05-09,38,38,Quality Engineer,Entertainment,Mass Customer,No,No,20
242,Taite,Droghan,Male,17,1992-03-20,33,33,Nurse,Property,Affluent Customer,No,No,8
243,Barbara,Croxley,Female,94,1976-09-02,48,48,Teacher,Manufacturing,High Net Worth,No,Yes,14
244,Germayne,Sperry,Male,57,1974-11-25,50,50,,Retail,Affluent Customer,No,No,8
245,Noell,Grahlmans,Female,6,2001-09-26,23,23,Associate Professor,Financial Services,Affluent Customer,No,No,1
246,Binny,Whight,Female,63,1991-02-28,34,34,Technical Writer,Manufacturing,High Net Worth,No,No,9
247,Kristal,Joysey,Female,62,1983-05-06,42,42,Staff Accountant II,Financial Services,High Net Worth,No,Yes,13
248,Inger,Eskell,Female,76,1978-04-15,47,47,Clinical Specialist,Health,Affluent Customer,No,Yes,12
249,D'arcy,Slay,Male,65,1992-09-13,32,32,Quality Control Specialist,IT,High Net Worth,No,No,9
250,Kristofer,,Male,53,1988-04-15,37,37,Legal Assistant,Health,Mass Customer,No,Yes,13
251,Mala,,Female,88,1977-12-24,47,47,VP Sales,Financial Services,Affluent Customer,No,Yes,10
252,Anthea,Ruskin,Female,39,1983-01-24,42,42,Account Coordinator,Property,Mass Customer,No,Yes,13
253,Amalee,Choak,Female,82,1997-05-11,28,28,Food Chemist,Health,Mass Customer,No,Yes,1
254,Barbie,Rubi,Female,98,1961-09-22,63,63,Information Systems Manager,Retail,Mass Customer,No,No,14
255,Keeley,Kruger,Female,2,1954-01-15,71,71,Desktop Support Technician,IT,Mass Customer,No,No,5
256,Linell,Beadle,Female,16,1975-05-07,50,50,Director of Sales,Health,High Net Worth,No,Yes,21
